key(String),amplitude(double),node(number),seconds(number)
"-M8wNCASKPDqWmKcno6l","1153","4","0.846"
"-M8wNCDA-22AV4fT3IEz","2228","0","0.884"
"-M8wNCGKbW3D_ZvtaB9j","1378","3","1.197"
"-M8wNCJ1N_fYfeCZEv7v","1782","0","1.261"
"-M8wNCKRNXT8PxaVBWwO","939","1","0.515"
"-M8wNCLhHiPCEUnqCEsx","1898","4","1.567"
"-M8wNCM8ktS_Ef20Y-u8","3208","3","1.577"
"-M8wNCOrcTKXRCuZ2kA6","381","1","1.596"
"-M8wNCRL2yVjRLmO535B","1316","4","1.926"
"-M8wNCRlVXCGe6UgVBHy","2920","3","1.936"
"-M8wNCUE8JbSloPx3DsX","310","0","1.981"
"-M8wNCUUJRiDYd8cDeW4","757","1","1.956"
"-M8wNCXPzbg9Kpv-AiKz","988","3","2.296"
"-M8wNCYTk_uJekcp2E4I","2206","4","2.29"
"-M8wNCZr7Xw8ZwtUR4Ip","254","0","2.34"
"-M8wNC_6ZMx7Y77jNOVN","714","1","2.316"
"-M8wNCd2XkVtRq7rh6mx","2245","4","2.648"
"-M8wNCeU6B3a1cLYRJyq","400","0","2.7"
"-M8wNCejNTghCmhxJ9cG","854","1","2.676"
"-M8wNCigy6xAG2J065YD","1655","4","3.008"
"-M8wNCkMHYBDAwmRq2fE","942","1","3.036"
"-M8wNCoJH_-EsS-_yq2j","2340","4","3.368"
"-M8wNCpyIjPdsXyBgIDM","1033","1","3.395"
"-M8wNCtyvS0DTzCnKj9c","2455","4","3.729"
"-M8wNCvNNTWqCcdxEopK","336","0","3.781"
"-M8wNCvaM-f9ZlEpYr1D","781","1","3.756"
"-M8wNCzjBFGSux_CKioU","2095","4","4.095"
"-M8wND4YYBq9zta65KeT","1585","4","4.471"
"-M8wND5cyTH4W2mlOPPe","271","0","4.501"
"-M8wND5riMJ6JGjuHx48","411","1","4.476"
"-M8wNDAAhvyUSmYB-T-S","1493","4","4.83"
"-M8wNDBF_EqnF34fKLWB","300","0","4.861"
"-M8wNDBU402fAUFLiPnR","372","1","4.836"
"-M8wNDFopK7-cK6DAis8","2568","4","5.191"
"-M8wNDGsaZ1pwVUVN21r","310","0","5.221"
"-M8wNDLi-4KBZ47OlkPv","3102","4","5.57"
"-M8wNDMVLZsHMcSOZ3wc","269","0","5.581"
"-M8wNDPedqLz60lsxxM5","1611","3","5.896"
"-M8wNDRNsPmsArirLKcf","3034","4","5.931"
"-M8wNDS7WNjiRxrsmeXk","252","0","5.941"
"-M8wNDXj8Z8iUBJ0mvs_","2338","0","6.3"
"-M8wNDhzKAP89VsKCCFi","1031","0","7.021"
"-M8wNDnbxYJpjBUdJaCn","278","0","7.38"
"-M8wNDpLESPkK-H51ld4","635","2","7.751"
"-M8wNDqmwjGmOO62tJDL","3109","3","7.696"
"-M8wNDtFiR7CdVrKU8DK","306","0","7.741"
"-M8wNE3VSZ-Hq9mwnvmn","912","0","8.461"
"-M8wNE96CJ4Y8w5sfyGW","290","0","8.82"
"-M8wNEEKrHX_rYI9jlUB","1187","4","9.192"
"-M8wNEEk8QSN39Qppf-J","428","0","9.181"
"-M8wNEJuks9IIucNGAmK","1067","4","9.55"
"-M8wNEKMLGSsaKdxDYud","536","0","9.54"
"-M8wNEQ-K9YfyaHvwvVF","1064","0","9.901"
"-M8wNEVcclzsu2h0ZSu_","503","0","10.261"
"-M8wNEVqz8j-UtocM-GO","1150","1","10.235"
"-M8wNEaEcDHZt3T4ILV0","300","0","10.62"
"-M8wNEaT9NwLr11_X0tb","1707","1","10.595"
"-M8wNEfrGmCZn_7C4l9i","722","0","10.981"
"-M8wNEg5s_yRNzIumtGf","2084","1","10.955"
"-M8wNEliCJl2mJRpTwh5","1069","1","11.315"
"-M8wNEqggYR5uRprHzVh","2400","4","11.713"
"-M8wNErLH5nY2GJRBHEF","1169","1","11.675"
"-M8wNEw_QcjKXEodqipx","3056","4","12.089"
"-M8wNEwkU6qjM8fxfBPO","1254","0","12.061"
"-M8wNEwywbRN0bHvUbcw","1250","1","12.035"
"-M8wNF1MIO8s0-UKo3GO","380","0","12.421"
"-M8wNF1abvn6LgwaAdkw","673","1","12.395"
"-M8wNFIE58l0xHA53eZR","774","0","13.5"
"-M8wNFNsL_zomkPEhnDh","1034","0","13.861"
"-M8wNFTUjTc9ANGabIbM","1032","0","14.221"
"-M8wNFZ6NlBLG6jD3NJt","512","0","14.58"
"-M8wNFdjrIR3q5Lkt69d","332","0","14.941"
"-M8wNFjMNp4OP-xz8auA","258","0","15.3"
"-M8wNFp-sN0pxiQaGphP","472","0","15.661"
"-M8wNFuc_FySn5WEKYkk","272","0","16.021"
"-M8wNFuq5jSCeakCaGC4","786","1","15.995"
"-M8wNG-EukzJboVOuqqg","352","0","16.38"
"-M8wNG4sbi8iBxOK_DKI","261","0","16.741"
"-M8wNG56R0TxfwxLw4yU","1042","1","16.716"
"-M8wNGAUecsCgmhO-MWz","254","0","17.1"
"-M8wNGG7nID4734x-_eo","295","0","17.461"
"-M8wNGLjzcpdQiPQJAUQ","376","0","17.821"
"-M8wNGRNp1YbWs7m99If","347","0","18.181"
"-M8wNGUXV5TtdRAHv6_s","1127","3","18.496"
"-M8wNGX-ZR_DppUhOBAf","322","0","18.541"
"-M8wNGXDa5G9SHPkgiNM","699","1","18.516"
"-M8wNGbcfEFWEvEwQc4U","514","0","18.901"
"-M8wNH0HEed-AxxDN5_r","984","3","20.656"
"-M8wNH2jWlBVUYUfjhQ2","582","0","20.7"
"-M8wNH8MxI-We1VLNtXG","287","0","21.06"
"-M8wNHJbL92m7Gmw3JR8","378","0","21.78"
"-M8wNHPEhd-BbNAGuIfp","281","0","22.141"
"-M8wNHkjUhMiXcMA06bh","524","0","23.581"
"-M8wNHqMnvUAuQIAi91z","610","0","23.94"
"-M8wNIHULwa7QWkU2ads","633","0","25.74"
"-M8wNIN646A2yVs1kkhs","759","0","26.1"
"-M8wNId-SQp0zvcZt5b3","490","0","27.181"
"-M8wNIicExmOd-2Lm8Bh","1126","0","27.541"
"-M8wNIlmby6T-f-ElGd_","1076","3","27.856"
"-M8wNIoEKgrNmPxnjPPa","433","0","27.9"
"-M8wNItrNzAd8hYVdnW0","576","0","28.26"
"-M8wNIzUVqnlWggOSVCg","930","0","28.62"
"-M8wNJ461MoEhcxBfuHf","768","0","28.98"
"-M8wNJ7HApjMFiFtIV4E","1877","3","29.296"
"-M8wNJCu_vGzwIB9bg3S","1250","3","29.656"
"-M8wNJFM8ojCZHbyFkv8","442","0","29.701"
"-M8wNJKzdMvSAXBzbZ2q","370","0","30.06"
"-M8wNJWETA6HHTHjqKMa","378","0","30.781"
"-M8wNJgUEIm2XnoKmexi","1069","0","31.501"
"-M8wNJjeT_v0pyLNR-oX","5060","3","31.816"
"-M8wNJm6_LLRE7ICu0fi","1608","0","31.86"
"-M8wNJpGxerumgbTECGw","3295","3","32.176"
"-M8wNJrjgZ-XhlcePFma","446","0","32.22"
"-M8wNJuth8MVjrVelkZf","1736","3","32.536"
"-M8wNJxMEWR7SUy5HyTC","562","0","32.581"
"-M8wNK-X7ZpbVQ-WPtZv","1647","3","32.896"
"-M8wNK58jSefFAvpu9KR","1228","3","33.256"
"-M8wNK7bPQyp9BBv4YIl","358","0","33.3"
"-M8wNKAmU7OQwXAvCo1C","1596","3","33.616"
"-M8wNKDE4iGuFZkItjhV","324","0","33.661"
"-M8wNKGPH_wYm2gx9cOV","2388","3","33.976"
"-M8wNKIsLbctIPVcn7e4","460","0","34.021"
"-M8wNKM19HlYsJVtsT-u","2422","3","34.336"
"-M8wNKOVZDkKfolTOQFp","325","0","34.381"
"-M8wNKRe4iKCClZhAHj0","1501","3","34.696"
"-M8wNKU7eKM9hZSbPKrM","376","0","34.741"
"-M8wNKXG0_JoXdgAeLIm","1930","3","35.056"
"-M8wNKbuSf5e7GsBIKL8","3394","3","35.416"
"-M8wNKjzJJY47gjCOwuu","330","0","35.821"
"-M8wNKpbJiKvxsvNOkQz","556","0","36.18"
"-M8wNKvU2xeZD0rDDHkw","386","1","36.516"
"-M8wNM3NkEopRwdzbnsE","300","0","41.221"
"-M8wNM3a8pqiQoZJkoOJ","1014","1","41.195"
"-M8wNM8z2k_U5OrzgopQ","1544","0","41.581"
"-M8wNM9DPul89AWazFAb","634","1","41.555"
"-M8wNMPrkEJ1UgN5l6yW","253","0","42.661"
"-M8wNMVUfeLxMS20p0lZ","308","0","43.021"
"-M8wNMa6N8f1oPdcmdss","454","0","43.381"
"-M8wNMfj_wyV9TJtiCuP","940","0","43.741"
"-M8wNMqzdEytu36fcfpp","274","0","44.46"
"-M8wNMwcCQHjQQP8TjyI","511","0","44.821"
"-M8wNN1EabAeckkpisDx","916","0","45.181"
"-M8wNN6r6__DNCoXH_qI","439","0","45.541"
"-M8wNNA1z8Y3OSqPYCdP","1027","3","45.856"
"-M8wNNCUFfMxdpDYmdkj","539","0","45.901"
"-M8wNNI7CmLF5-8E-Z2B","584","0","46.261"
"-M8wNNNj-e1FOtmuu8NQ","411","0","46.621"
"-M8wNNTMzuTKoWj_T6b_","1146","0","46.981"
"-M8wNNYzrlDsivutOviL","292","0","47.341"
"-M8wNNp4JeWQJ_kHatKg","2075","4","48.472"
"-M8wNNp6x3fzxBqArBa7","3170","1","48.396"
"-M8wNNuUAYDLbfEwQ_bM","266","0","48.781"
"-M8wNNueWS5JfUNpJut8","2070","4","48.83"
"-M8wNNuiCld7sbyZDui0","2411","1","48.755"
"-M8wNNxeOWoBGfYYQrfA","1339","3","49.096"
"-M8wNO1eCueHqzIlBTcM","2936","2","49.511"
"-M8wNO7IxXw6hy3X2Acm","3034","2","49.872"
"-M8wNO7u_g2KlRR-NiAl","3059","3","49.816"
"-M8wNOAMos1nQq3mmIPV","394","0","49.861"
"-M8wNOCuU-pQ0SqP3w72","2646","2","50.231"
"-M8wNODXTjJnIzD--JNF","3311","3","50.176"
"-M8wNOFz-5_d3KDKVvhn","351","0","50.22"
"-M8wNOLbRnyprdsl16JM","266","0","50.58"
"-M8wNOLq8eAbps_jijYN","706","1","50.555"
"-M8wNOREuZY9fWUVd0te","347","0","50.941"
"-M8wNORUTYzS_9fYLYzo","585","1","50.916"
"-M8wNOX5UKVPfyewYGa1","758","1","51.275"
"-M8wNOh60SCZl8XQLwLC","446","0","52.021"
"-M8wNOmjxxCJGAYwpSwN","420","0","52.38"
"-M8wNOsNXpYPC4BuA4OO","1590","0","52.741"
"-M8wNOsbCMDlHUnRpS7a","476","1","52.716"
"-M8wNOxzgnO09kgFDccv","1699","0","53.101"
"-M8wNOyDARbe30QHKFer","644","1","53.075"
"-M8wNP2bleOvKZLpyITG","855","0","53.46"
"-M8wNP8EAZbF_Y3DX1o-","396","0","53.821"
"-M8wNPDrw3vdzizfPeag","609","0","54.181"
"-M8wNPE6EqwhtFKBiNzC","386","1","54.156"
"-M8wNPJUV2HXMYPAJvnR","560","0","54.541"
"-M8wNPJiHjiMLmG4XFK_","433","1","54.515"
"-M8wNPP6166xtvhZb3xJ","627","0","54.9"
"-M8wNPUjeLToRpGN-eLQ","651","0","55.26"
"-M8wNP_MH8XaSauVdwxK","921","0","55.62"
"-M8wNPqFlHh5uvPWpFXe","579","0","56.701"
"-M8wNPvsQC4v42qDllUy","740","0","57.061"
"-M8wNQ0UZi7tgwulDZoi","1420","0","57.421"
"-M8wNQ3eGQa_BWpRr4KU","1012","3","57.736"
"-M8wNQ66PjUBenjEmLNk","1294","0","57.78"
"-M8wNQBjeM-flwDE9IL5","1042","0","58.141"
"-M8wNQHMWAS0QIhF8wPU","792","0","58.5"
"-M8wNQMzFSomT6K_ol3Q","1482","0","58.86"
"-M8wNQQ9JvVi3RBrWTGU","1008","3","59.176"
"-M8wNQSbOQfP0EOzjI0G","1975","0","59.221"
"-M8wNQSqWs-FITjKOfk3","499","1","59.195"
"-M8wNQYTPg71KBhgoxXw","1584","1","59.555"
"-M8wNQcrFkH96-qn8ZmF","1335","0","59.941"
"-M8wNQd6gSR6bqLCRIKf","2537","1","59.917"
"-M8wNQiUPrnwG7s4V3b7","440","0","60.301"
"-M8wNQiiCidpMQiBcl2r","490","1","60.275"
"-M8wNQo7N0VZISU9Cr-t","502","0","60.661"
"-M8wNQtjS_ypoqFMqBNn","1322","0","61.021"
"-M8wNQtyvS-JnMu0v-bX","435","1","60.995"
"-M8wNQzM9dY3ucQR93C_","2008","0","61.381"
"-M8wNR3z-COAuZMNUzTB","559","0","61.741"
"-M8wNR9bQzgqd73s5h_h","1188","0","62.1"
"-M8wNRFE0s4HuhWTvwq1","259","0","62.461"
"-M8wNRFT1gJQHpX3dEi_","362","1","62.435"
"-M8wNRKryTHmO490O-1G","292","0","62.82"
